utility_name,size_category,fy,indicator,value,unit,granularity,method,source_id,report_issue,vintage,extraction_confidence,attribution
Kisumu,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,37,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,water_coverage,93,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,24,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,96,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,31,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,105,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kisumu,"Very Large (>35,000 connections)",FY2023/24,total_score,150,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,44,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,water_coverage,95,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,90,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,33,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,136,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Ruiru-Juja,"Very Large (>35,000 connections)",FY2023/24,total_score,145,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,93,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,37,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,water_coverage,98,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,4,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,97,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,55,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,118,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kakamega Urban,"Very Large (>35,000 connections)",FY2023/24,total_score,141,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,35,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,water_coverage,83,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,23,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,95,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,49,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,102,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Embu,"Very Large (>35,000 connections)",FY2023/24,total_score,140,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,93,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,37,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,water_coverage,83,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,23,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,4,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,103,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,54,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,106,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Eldoret,"Very Large (>35,000 connections)",FY2023/24,total_score,131,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,40,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,water_coverage,75,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,20,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,4,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,99,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,47,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,103,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Murang'a South,"Very Large (>35,000 connections)",FY2023/24,total_score,129,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,21,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,water_coverage,73,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,20,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,8,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,85,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,38,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,102,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Malindi,"Very Large (>35,000 connections)",FY2023/24,total_score,111,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,52,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,water_coverage,65,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,92,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,56,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,85,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kirinyaga,"Very Large (>35,000 connections)",FY2023/24,total_score,110,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,96,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,49,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,water_coverage,64,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,18,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,7,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,97,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,28,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,70,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Kilifi Mariakani,"Very Large (>35,000 connections)",FY2023/24,total_score,107,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,68,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,non_revenue_water,33,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,water_coverage,74,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,hours_of_supply,21,hrs/day,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,staff_per_1000_connections,5,staff/1000 conns,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,revenue_collection_eff,95,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,personnel_exp_share,53,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,om_cost_coverage,70,%,utility,measured,wasreb_impact_17,17,FY2023/24,medium,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,metering_ratio,100,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Gatundu,"Very Large (>35,000 connections)",FY2023/24,total_score,102,points (max 200),utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
Nairobi,"Very Large (>35,000 connections)",FY2023/24,drinking_water_quality,95,%,utility,measured,wasreb_impact_17,17,FY2023/24,high,"Water Services Regulatory Board (WASREB), IMPACT Report Issue 17, 2025"
